Oakwood University,31.7%
Stillman College,41.0%
Alabama State University,46.0%
Spring Hill College (SHC),47.4%
University of West Alabama (UWA),48.6%
The University of Alabama (UA),53.1%
Alabama A & M University (A&M;),54.4%
Huntingdon College,60.5%
Troy University (TROY),62.3%
Tuskegee University,64.5%
Birmingham Southern College,65.2%
University of Alabama at Birmingham (UAB),72.2%
Auburn University at Montgomery (AUM),74.0%
Samford University,75.6%
University of Alabama in Huntsville (UAH),77.7%
Auburn University (AU),77.2%
University of Montevallo (UM),77.7%
University of Mobile,80.4%
Judson College,81.6%
Jacksonville State University (JSU),82.3%
University of South Alabama (USA),87.2%
University of North Alabama (UNA),88.5%
Alaska Pacific University,63.2%
Arizona Christian University,71.3%
University of Arizona (UA),71.4%
Northern Arizona University (NAU),76.3%
Prescott College (PC),81.5%
Embry-Riddle Aeronautical University-Prescott,82.3%
Arizona State University (ASU),88.9%
University of Arkansas at Pine Bluff (UAPB),32.8%
Ecclesia College,36.2%
Central Baptist College (CBC),45.0%
University of Arkansas-Fort Smith (UAFS),54.3%
Henderson State University,61.5%
Williams Baptist College (WBC),62.6%
University of Arkansas (UARK),63.5%
Lyon College,63.6%
Southern Arkansas University Main Campus (SAU),64.6%
John Brown University,64.6%
Ouachita Baptist University (OBU),69.1%
Arkansas State University-Main Campus,70.6%
Harding University,74.6%
Hendrix College,83.0%
Arkansas Tech University (ATU),88.0%
University of the Ozarks (Ozarks),91.0%
University of Central Arkansas (UCA),92.9%
University of Arkansas at Little Rock (UALR),99.5%
Stanford University,6.6%
California Institute of Technology (Caltech),12.8%
Pomona College,13.0%
Claremont McKenna College,13.6%
Pitzer College,16.1%
Harvey Mudd College (HMC),19.2%
University of Southern California (USC),19.9%
University of California-Berkeley (UC Berkeley),21.6%
California Institute of the Arts (CalArts),24.7%
University of California-Los Angeles (UCLA),25.5%
California State University-Long Beach (CSULB),30.4%
Scripps College,32.4%
San Diego State University (SDSU),32.9%
University of California-San Diego (UCSD),35.3%
California State University-East Bay (CSUEB),35.7%
California Polytechnic State University-San Luis Obispo (Cal Poly),37.4%
University of the Pacific (UOP),37.8%
Pepperdine University,38.4%
Laguna College of Art and Design,39.6%
University of La Verne,39.9%
Occidental College (OXY),39.3%
University of San Diego (USD),42.6%
San Diego Christian College,42.6%
Chapman University,43.6%
Soka University of America,45.8%
California State University-Fullerton (CSUF),46.7%
University of California-Santa Barbara (UCSB),46.3%
California State University-Monterey Bay (CSUMB),47.0%
California Lutheran University (CLU),47.3%
Pacific Union College (PUC),47.3%
University of California-Irvine (UCI),47.5%
San Francisco Conservatory of Music,47.5%
University of California-Davis (UC Davis),48.3%
